number,value,datetime_start,datetime_complete,duration,params_eta,params_max_depth,params_subsample,state
20,0.6543959119186449,2025-08-04 14:21:03.464446,2025-08-04 14:21:07.925145,0 days 00:00:04.460699,0.11854616887977175,5,0.80886298266738,COMPLETE
25,0.6543039104793479,2025-08-04 14:21:16.472405,2025-08-04 14:21:18.222093,0 days 00:00:01.749688,0.2386702420641467,5,0.8224411093738702,COMPLETE
46,0.6542512403264966,2025-08-04 14:21:48.642250,2025-08-04 14:21:50.092891,0 days 00:00:01.450641,0.01899787131924347,5,0.8755385660364915,COMPLETE
48,0.6542379545460703,2025-08-04 14:21:51.600967,2025-08-04 14:21:53.358347,0 days 00:00:01.757380,0.10250041450927153,6,0.7793177591002878,COMPLETE
0,0.6542050530647667,2025-08-04 14:20:33.219769,2025-08-04 14:20:34.576669,0 days 00:00:01.356900,0.04929156746660892,6,0.8797816919659507,COMPLETE
22,0.65395666656299,2025-08-04 14:21:10.849300,2025-08-04 14:21:12.791099,0 days 00:00:01.941799,0.11466109609111855,5,0.8551608265434923,COMPLETE
42,0.653939635372452,2025-08-04 14:21:42.751564,2025-08-04 14:21:44.173187,0 days 00:00:01.421623,0.0502545905532757,5,0.8820360008867985,COMPLETE
21,0.6537790997264932,2025-08-04 14:21:07.927763,2025-08-04 14:21:10.847035,0 days 00:00:02.919272,0.06430049625914845,5,0.8444464138103839,COMPLETE
11,0.6536948100888922,2025-08-04 14:20:46.715348,2025-08-04 14:20:48.451791,0 days 00:00:01.736443,0.01762059290111731,5,0.8951140606504847,COMPLETE
44,0.6536923000032386,2025-08-04 14:21:45.553500,2025-08-04 14:21:46.950674,0 days 00:00:01.397174,0.07131260413935052,5,0.8498627534650871,COMPLETE
12,0.6535549825581235,2025-08-04 14:20:48.453517,2025-08-04 14:20:50.734373,0 days 00:00:02.280856,0.07790041676884461,6,0.8377249058974205,COMPLETE
35,0.6534939424789775,2025-08-04 14:21:32.394604,2025-08-04 14:21:33.841211,0 days 00:00:01.446607,0.010292836249309358,5,0.8827471482587601,COMPLETE
30,0.6533830374241868,2025-08-04 14:21:25.042660,2025-08-04 14:21:26.795334,0 days 00:00:01.752674,0.17733660571393517,6,0.7851747903023878,COMPLETE
27,0.653214109104542,2025-08-04 14:21:20.125062,2025-08-04 14:21:21.776159,0 days 00:00:01.651097,0.17106946739287968,5,0.7602796821136529,COMPLETE
15,0.6531712371571896,2025-08-04 14:20:54.395842,2025-08-04 14:20:56.243381,0 days 00:00:01.847539,0.13947693456063717,5,0.7428006335945628,COMPLETE
19,0.653163317709462,2025-08-04 14:21:01.656676,2025-08-04 14:21:03.462583,0 days 00:00:01.805907,0.16021306431797364,6,0.7300515961136115,COMPLETE
